Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
0,0,0,0,0,CUST0001,54-57,0,131422-140705,whatsapp,Awareness,6226.776521582006,0.053840907557272256,0.08614827064894473,0,2.292379976353772,7.017781385995494,19,6-7,9,0-4,688,isConfid,isConfid,1
1,1,1,1,1,CUST0002,66-69,1,38582-47865,protonmail,Retention,3874.5084241117306,0.15286572021904185,0.1778392693135362,42,3.1664941551830963,5.436527101591678,5,2-3,7,0-4,3459,isConfid,isConfid,1
2,2,2,2,2,CUST0003,46-49,0,85002-94285,facebook ads,Awareness,1415.6334510195234,0.27465324249631573,0.07376865728115281,2,8.241401330007104,14.106567910203825,0,10-11,2,5-9,2337,isConfid,isConfid,1
3,3,3,3,3,CUST0004,30-33,0,38582-47865,twitter ads,Conversion,804.5270084477181,0.14023471761134243,0.08604987070351686,47,4.605004417568388,14.868517217461259,89,2-3,2,0-4,2463,isConfid,isConfid,1
4,4,4,4,4,CUST0005,58-61,0,75718-85001,twitter ads,Conversion,1592.039678527142,0.252956343875414,0.10789926999720185,0,1.975320304531822,14.066218839181877,6,6-7,6,5-9,4345,isConfid,isConfid,1
5,5,5,5,5,CUST0006,22-25,0,38582-47865,tiktok,Awareness,9582.765505756295,0.1532072887396995,0.1555907998682503,6,2.09256977569598,7.5397901403483205,95,4-5,8,0-4,3316,isConfid,isConfid,1
6,6,6,6,6,CUST0007,38-41,0,20014-29297,online directory,Awareness,7326.15851694472,0.03745713636617321,0.060632991634759825,42,1.9601947697749451,10.659999616499215,54,14-15,3,5-9,930,isConfid,isConfid,1
7,7,7,7,7,CUST0008,54-57,0,47866-57149,facebook,Conversion,4969.355379112356,0.056078945254303326,0.18749248441331984,48,2.744192704796041,2.6937455638928074,96,8-9,3,0-4,2983,isConfid,isConfid,1
8,8,8,8,8,CUST0009,34-37,0,140706-149989,outlook,Retention,9467.90955641842,0.02895664381242077,0.11047219913289154,13,5.423966407540241,14.271851398638114,73,4-5,8,5-9,460,isConfid,isConfid,1
9,9,9,9,9,CUST0010,38-41,1,122138-131421,twitter,Awareness,6138.915140087413,0.06743977923002595,0.16342266206419676,22,1.3621171216104138,4.85381639587813,14,8-9,4,5-9,3789,isConfid,isConfid,1
10,10,10,10,10,CUST0011,26-29,1,85002-94285,facebook ads,Retention,7121.753601679332,0.26524385020640384,0.11008758797186335,47,2.066505831609918,3.324282069144297,94,16-17,5,5-9,1987,isConfid,isConfid,1
11,11,11,11,11,CUST0012,26-29,1,29298-38581,google,Awareness,2885.595594793597,0.19175025571745533,0.15484612790853233,16,9.076274514377538,1.1895588989347903,23,18-19,6,5-9,2403,isConfid,isConfid,1
12,12,12,12,12,CUST0013,38-41,1,122138-131421,protonmail,Conversion,5797.468306460421,0.22461589313348854,0.019172307696318704,13,9.024630062895222,8.634638792215243,28,16-17,5,0-4,2946,isConfid,isConfid,1
13,13,13,13,13,CUST0014,50-53,1,57150-66433,google,Awareness,1489.0228640403693,0.19010411729442436,0.16116229982906213,8,8.3334448751685,14.40433958732961,81,8-9,1,0-4,2818,isConfid,isConfid,1
14,14,14,14,14,CUST0015,54-57,1,140706-149989,yahoo,Awareness,4176.27209887828,0.12079034942020254,0.10979059218827412,20,7.343545757118321,2.527161735457986,70,16-17,8,0-4,3247,isConfid,isConfid,1
15,15,15,15,15,CUST0016,38-41,0,38582-47865,zoho,Awareness,612.2803034064659,0.07032608166391,0.09382115795530714,44,7.066084653462982,2.0296971093021825,33,0-1,1,0-4,4474,isConfid,isConfid,0
16,16,16,16,16,CUST0017,18-21,0,20014-29297,twitter ads,Conversion,2198.5124000987726,0.2827058108523534,0.026217331070314386,1,3.5298775497613826,4.743634280492698,77,6-7,8,5-9,3252,isConfid,isConfid,1
17,17,17,17,17,CUST0018,38-41,0,66434-75717,linkedin,Conversion,761.7225566818014,0.15631553009742424,0.15092986141168468,31,4.287147146980451,9.94161473669526,83,18-19,5,0-4,3463,isConfid,isConfid,1
