Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
3476,CUST3477,18-21,1,103570-112853,google ads,Awareness,3389.3560376465143,0.2564223605830853,0.1349746472608695,25,5.599195872288692,6.170700630097306,14,0-1,2,5-9,3906,isConfid,isConfid,1
5142,CUST5143,18-21,1,103570-112853,baidu,Consideration,1355.4902532379524,0.1405689150515449,0.0770635247295101,38,4.348739282288463,12.380590647600055,15,4-5,5,5-9,4716,isConfid,isConfid,1
6435,CUST6436,18-21,0,103570-112853,instagram,Awareness,267.8934195553523,0.2843096141962328,0.1148269607983086,8,5.176114584486289,4.710805311202613,43,4-5,0,0-4,4303,isConfid,isConfid,0
7669,CUST7670,18-21,0,103570-112853,instagram,Conversion,9511.664122053702,0.2534136564255153,0.0182778652183882,0,3.017136190812761,9.448730786271565,32,4-5,5,5-9,2581,isConfid,isConfid,1
6642,CUST6643,18-21,0,103570-112853,duckduckgo,Retention,5424.902111951002,0.2702646148203493,0.1054507289038675,18,5.806350825277313,0.4152826323831642,0,18-19,8,0-4,3599,isConfid,isConfid,1
7828,CUST7829,18-21,1,103570-112853,facebook ads,Conversion,8051.426410192076,0.2574691767515372,0.1173496771172501,3,7.0013440227597,3.874007626384088,16,18-19,1,0-4,1191,isConfid,isConfid,1
1940,CUST1941,18-21,0,103570-112853,linkedin,Consideration,1294.2419583599656,0.1482432312576597,0.1787555153644122,39,6.72453996582499,8.176178705378671,81,2-3,3,0-4,2302,isConfid,isConfid,1
3606,CUST3607,18-21,1,103570-112853,yahoo,Awareness,8079.883573910192,0.2875764868433411,0.1549735730483012,33,6.023195805056112,3.796918270652655,60,2-3,9,5-9,4352,isConfid,isConfid,1
4928,CUST4929,18-21,1,103570-112853,twitter ads,Consideration,7227.556580306135,0.1720272067338138,0.2025276410616055,10,1.3771620972371224,1.8246791801452065,32,2-3,4,0-4,1653,isConfid,isConfid,0
5120,CUST5121,18-21,0,103570-112853,yahoo,Retention,5158.464802307041,0.2074004091387093,0.081865125514246,27,4.4085299199557815,13.918690871693078,98,2-3,0,5-9,581,isConfid,isConfid,1
162,CUST0163,18-21,0,103570-112853,zoho,Awareness,8835.9918002324,0.1323375532730693,0.1613701427322973,30,4.831027598329165,14.38290515448334,95,2-3,7,5-9,3180,isConfid,isConfid,1
69,CUST0070,18-21,1,103570-112853,linkedin,Consideration,7887.529312333887,0.034982357705506,0.1379832186234631,14,2.779888601608692,12.677333358405642,55,2-3,1,0-4,3849,isConfid,isConfid,1
5250,CUST5251,18-21,1,103570-112853,news portal,Conversion,9869.569242803464,0.0163481849840229,0.168791165146476,40,1.1681847287079166,6.612198712980208,61,18-19,9,0-4,3587,isConfid,isConfid,1
237,CUST0238,18-21,0,103570-112853,gmail,Awareness,956.227680016924,0.1126958688813064,0.0516415641388716,20,6.178819133097493,6.962127963353981,99,8-9,0,5-9,1206,isConfid,isConfid,1
566,CUST0567,18-21,0,103570-112853,partner site,Conversion,2466.914396299351,0.2763338604558265,0.1166438823170474,33,5.68152089484436,6.903054289046207,78,8-9,1,0-4,1596,isConfid,isConfid,1
2182,CUST2183,18-21,1,103570-112853,partner site,Consideration,3971.188041598813,0.1187969526563865,0.0364908427590206,49,6.411112447754693,6.548170660088699,84,8-9,8,0-4,4450,isConfid,isConfid,1
2475,CUST2476,18-21,0,103570-112853,online directory,Retention,4057.95551825044,0.2821688784316419,0.1419719797787047,6,6.330552077533328,6.14634017396004,32,8-9,7,0-4,1708,isConfid,isConfid,1
2824,CUST2825,18-21,0,103570-112853,google ads,Retention,1176.5660628744984,0.1276240682430897,0.0558907210786507,24,7.813692292861034,10.007725255934616,55,8-9,6,0-4,3149,isConfid,isConfid,1
2965,CUST2966,18-21,0,103570-112853,outlook,Awareness,2936.304763815622,0.1417349718149366,0.0980108163445231,0,3.014676247602453,4.813820750942731,66,8-9,3,5-9,1862,isConfid,isConfid,1
5552,CUST5553,18-21,0,103570-112853,baidu,Conversion,7076.083576335055,0.2771350997861904,0.0220397491329226,6,5.763121723505644,10.467105474058728,87,8-9,2,0-4,4326,isConfid,isConfid,1
5802,CUST5803,18-21,0,103570-112853,blog,Conversion,4896.256409905603,0.0939498347976409,0.0852976077408173,39,8.191727095630895,1.828089656923637,69,8-9,7,5-9,797,isConfid,isConfid,1
6749,CUST6750,18-21,0,103570-112853,protonmail,Consideration,1878.14943624128,0.0662989458794176,0.1447397497085503,2,3.971801963880771,13.995254191030613,27,8-9,2,5-9,1723,isConfid,isConfid,1
444,CUST0445,18-21,1,103570-112853,google,Consideration,2256.445945573063,0.202144152166343,0.0401575637698801,8,8.360305375046794,6.005052552348626,42,6-7,0,0-4,1327,isConfid,isConfid,0
4974,CUST4975,18-21,1,103570-112853,linkedin ads,Consideration,8934.708910776832,0.236887223760339,0.0711512614890485,38,1.7106958728952129,3.635092167183073,20,18-19,9,5-9,1449,isConfid,isConfid,1
1298,CUST1299,18-21,1,103570-112853,baidu,Awareness,8159.852303087146,0.1537459682412818,0.0447983525392174,23,8.179663872498011,12.641612426564716,46,12-13,8,0-4,4327,isConfid,isConfid,1
3026,CUST3027,18-21,0,103570-112853,duckduckgo,Retention,2681.6395059323936,0.068891283263867,0.1100670850125682,42,8.464804721566962,1.6580547439060014,93,12-13,9,0-4,1756,isConfid,isConfid,1
5384,CUST5385,18-21,0,103570-112853,facebook,Consideration,4088.127026749641,0.0850811944707575,0.0352395234826022,10,1.6934819999109794,2.0276794952173445,37,0-1,4,0-4,3003,isConfid,isConfid,0
7659,CUST7660,18-21,1,103570-112853,online directory,Consideration,5613.868568787909,0.0186016328785385,0.0300984882452673,29,8.049305859372312,4.2427434879372345,97,0-1,5,5-9,2658,isConfid,isConfid,0
7998,CUST7999,18-21,0,103570-112853,google ads,Consideration,9388.819747571755,0.018445621152332,0.1336002837386092,49,0.9910374047401946,3.683673535318426,86,0-1,5,5-9,2709,isConfid,isConfid,1
1290,CUST1291,18-21,0,103570-112853,baidu,Retention,794.825066003888,0.013109826099764,0.0695197491388633,44,3.580531095649321,10.00234524112392,29,18-19,8,0-4,1404,isConfid,isConfid,1
329,CUST0330,18-21,0,103570-112853,linkedin ads,Conversion,2592.5499706881205,0.1866068642600307,0.0413333752497408,21,7.509549766582427,2.441651652569412,78,10-11,9,5-9,2439,isConfid,isConfid,1
2074,CUST2075,18-21,0,103570-112853,bing,Awareness,9366.8701221266,0.0332547208802104,0.1050359955201583,9,7.145436161046787,12.199400340036211,41,10-11,6,5-9,1102,isConfid,isConfid,1
2721,CUST2722,18-21,0,103570-112853,bing,Conversion,8016.67711423806,0.2130707133108174,0.1725859873834651,33,2.870869462448331,3.986022535732835,56,10-11,9,0-4,2258,isConfid,isConfid,1
4116,CUST4117,18-21,0,103570-112853,gmail,Consideration,3320.6449051901304,0.1471992884152081,0.04325895894068,28,3.405715842539846,2.28941574672306,19,10-11,0,0-4,597,isConfid,isConfid,0
5816,CUST5817,18-21,0,103570-112853,protonmail,Consideration,2040.296656859648,0.3010194287740054,0.183117523089661,9,6.507788954453647,3.9495962890959535,71,10-11,2,0-4,2276,isConfid,isConfid,0
7587,CUST7588,18-21,0,103570-112853,instagram,Retention,4091.204805528229,0.0741955164156671,0.0430549574664305,2,3.460492099932861,14.157397660515512,77,10-11,8,0-4,4278,isConfid,isConfid,1
7821,CUST7822,18-21,0,103570-112853,outlook,Consideration,6631.189890492162,0.0524068663729099,0.0885006289573461,17,3.6741939042436176,6.783736533004693,24,16-17,4,5-9,3055,isConfid,isConfid,0
5714,CUST5715,18-21,0,103570-112853,yahoo,Conversion,3642.773937388373,0.1744463184128209,0.0861983777667246,0,4.335370995337556,11.170741101981427,80,16-17,5,5-9,3612,isConfid,isConfid,1
4693,CUST4694,18-21,1,103570-112853,baidu,Consideration,6494.251759232328,0.2930635510974361,0.0357120056460339,29,7.698763697018567,9.36147684357067,0,16-17,9,0-4,3120,isConfid,isConfid,1
3906,CUST3907,18-21,1,103570-112853,blog,Retention,9636.079070609872,0.0865747963305102,0.03055660440307,1,8.351434798146979,4.892880180893828,44,16-17,3,0-4,2120,isConfid,isConfid,1
1789,CUST1790,18-21,0,103570-112853,gmail,Consideration,5219.884527792949,0.2713177465051188,0.1226020168050046,2,5.532427157211816,8.364962436627682,97,16-17,6,5-9,2778,isConfid,isConfid,1
933,CUST0934,18-21,0,103570-112853,bing ads,Consideration,7207.661655088953,0.0526560020861157,0.1902941815248542,21,8.073030771960456,10.75939580253767,89,16-17,3,5-9,4504,isConfid,isConfid,1
1020,CUST1021,18-21,1,103570-112853,linkedin ads,Conversion,9881.832822808718,0.2022327201280623,0.0561190367221839,42,2.408749356790129,12.210904047064044,28,16-17,8,0-4,1973,isConfid,isConfid,1
294,CUST0295,18-21,0,103570-112853,baidu,Retention,7066.428693568639,0.2254332854362579,0.1989929168242855,5,9.061728110589677,8.383155338240218,27,14-15,3,5-9,1192,isConfid,isConfid,1
1071,CUST1072,18-21,1,103570-112853,online directory,Awareness,1608.1394169910093,0.300925018392481,0.0475221692818693,13,6.818019211561998,2.180567067034218,30,14-15,7,5-9,4434,isConfid,isConfid,1
3103,CUST3104,18-21,1,103570-112853,twitter,Conversion,1433.455518842782,0.1904744637388559,0.0657288907998449,41,8.753108050581437,2.330997931088699,80,14-15,5,0-4,3369,isConfid,isConfid,1
3810,CUST3811,18-21,1,103570-112853,bing,Consideration,7140.209474228085,0.0711464417486115,0.0853836400259552,4,2.2333544146588213,11.29153663736304,64,14-15,9,0-4,4077,isConfid,isConfid,1
7278,CUST7279,18-21,0,103570-112853,bing,Conversion,6214.778155714083,0.187469994528372,0.1495550565826276,17,4.353580876551422,3.680435493814364,90,14-15,1,0-4,1964,isConfid,isConfid,1
5272,CUST5273,18-21,0,112854-122137,duckduckgo,Retention,3403.606127416327,0.0332842716750502,0.1323220695209761,0,7.3893085090005135,11.050698284678512,13,4-5,3,5-9,1592,isConfid,isConfid,1
1452,CUST1453,18-21,1,112854-122137,partner site,Retention,1459.1664430931453,0.0576900492030695,0.0573901370524497,4,6.158709054649563,5.517518460683637,74,4-5,8,5-9,4732,isConfid,isConfid,1
1531,CUST1532,18-21,0,112854-122137,protonmail,Retention,4552.475232821434,0.2923044027449984,0.1273115146332283,22,9.100948102983438,13.833346446419217,14,4-5,3,5-9,3922,isConfid,isConfid,1
2087,CUST2088,18-21,0,112854-122137,google,Retention,9107.452105707882,0.2420724772556357,0.0302702994091406,41,5.453743552775963,8.66763954371326,14,4-5,1,5-9,669,isConfid,isConfid,1
2367,CUST2368,18-21,0,112854-122137,twitter ads,Awareness,8033.512588885185,0.2182204826214778,0.0646637822549372,36,8.305074081287874,13.834559608924923,61,4-5,8,0-4,3428,isConfid,isConfid,1
6896,CUST6897,18-21,0,112854-122137,outlook,Consideration,3511.852627762514,0.2314872849678753,0.1349796783851446,31,6.787560188367639,14.105046014283984,94,4-5,2,5-9,2518,isConfid,isConfid,1
6978,CUST6979,18-21,1,112854-122137,bing,Conversion,8524.781462636587,0.0366930997049017,0.1030986962478127,29,7.73919508913799,13.06492409860582,55,4-5,0,5-9,3617,isConfid,isConfid,1
4515,CUST4516,18-21,1,112854-122137,twitter ads,Consideration,79.53568764169543,0.0385515719192615,0.1099123059630034,20,5.288336453129587,5.286282152390712,8,2-3,1,5-9,2943,isConfid,isConfid,1
7944,CUST7945,18-21,0,112854-122137,google ads,Conversion,8996.893100006253,0.2169208769284779,0.1702843978927855,27,8.379843074922325,6.765382597210763,36,2-3,3,0-4,4010,isConfid,isConfid,1
6501,CUST6502,18-21,0,112854-122137,partner site,Consideration,3388.0652577155283,0.0257581573418655,0.0866917593103671,32,5.264343620823094,3.453050121022048,71,8-9,9,5-9,4933,isConfid,isConfid,1
18,CUST0019,18-21,0,112854-122137,google ads,Conversion,3873.974643393994,0.1482748193237604,0.033470282516165,7,2.950717980898685,8.650315910563435,92,8-9,4,5-9,2222,isConfid,isConfid,1
543,CUST0544,18-21,1,112854-122137,google,Awareness,1708.255036231893,0.1518699443600861,0.0683625027510929,14,6.846914034985313,12.742750926735289,44,6-7,3,5-9,3437,isConfid,isConfid,1
1719,CUST1720,18-21,1,112854-122137,outlook,Consideration,7534.247539549739,0.2322299626501778,0.1003049648388705,32,4.378183387434437,7.292432722848733,76,6-7,5,5-9,2833,isConfid,isConfid,1
1904,CUST1905,18-21,1,112854-122137,linkedin ads,Consideration,313.3109362680098,0.1450522713463527,0.074365629407797,30,9.165134183381095,10.718747431159754,38,6-7,9,5-9,4994,isConfid,isConfid,1
4106,CUST4107,18-21,0,112854-122137,affiliate,Consideration,5618.530952079837,0.2921005522048365,0.1166948287225712,45,4.149885281383967,5.442420314639206,74,6-7,5,5-9,383,isConfid,isConfid,1
4712,CUST4713,18-21,1,112854-122137,blog,Consideration,2575.583908309763,0.1509759530120625,0.0187432706859278,29,4.683350491849547,8.479455285844308,37,6-7,8,0-4,2497,isConfid,isConfid,1
6232,CUST6233,18-21,0,112854-122137,duckduckgo,Awareness,5232.861227068369,0.0877994636966811,0.023547123924235,7,9.834374592606888,12.986342548007892,56,6-7,4,5-9,91,isConfid,isConfid,1
6380,CUST6381,18-21,0,112854-122137,twitter ads,Consideration,8721.663010676808,0.26871388051085,0.0301113276132988,14,2.9507640967723088,12.165543610991293,77,6-7,0,0-4,1211,isConfid,isConfid,1
6729,CUST6730,18-21,0,112854-122137,instagram,Retention,1674.657166148446,0.1231213123386024,0.2000572393101886,9,2.448951927615534,6.819688640683196,46,6-7,6,0-4,734,isConfid,isConfid,0
6923,CUST6924,18-21,1,112854-122137,instagram,Conversion,7619.466465721354,0.0448455665829038,0.1582728030517001,17,5.010811794500323,14.025646837638265,95,6-7,7,0-4,3477,isConfid,isConfid,1
7393,CUST7394,18-21,1,112854-122137,bing ads,Retention,677.6632914375673,0.2612805539201109,0.0269655742589107,2,7.117911195571804,2.388447503089272,40,18-19,9,5-9,1265,isConfid,isConfid,0
6017,CUST6018,18-21,1,112854-122137,tiktok,Conversion,8809.436277972427,0.0974543253797981,0.1894935543328662,35,7.786125694162859,13.256966918527072,76,18-19,8,0-4,3816,isConfid,isConfid,1
5707,CUST5708,18-21,0,112854-122137,yahoo,Conversion,6106.400112882301,0.1126223170081397,0.1671171604020296,47,2.1604565124625204,1.7033791537884848,54,10-11,2,5-9,4942,isConfid,isConfid,1
7482,CUST7483,18-21,0,112854-122137,bing ads,Awareness,3088.631641857991,0.2700811265235588,0.143435883469517,2,5.384021351880048,10.066716655470412,23,10-11,3,0-4,1625,isConfid,isConfid,0
7889,CUST7890,18-21,0,112854-122137,facebook ads,Awareness,5101.383479896244,0.0700217172409684,0.0467978051982218,20,6.426774699380122,12.418525026773452,45,10-11,7,0-4,291,isConfid,isConfid,1
2450,CUST2451,18-21,0,112854-122137,bing ads,Conversion,2054.7272480355828,0.2916812768386025,0.0849672022395276,19,5.176780017185228,3.2179052907583503,56,12-13,9,5-9,4270,isConfid,isConfid,1
3896,CUST3897,18-21,0,112854-122137,linkedin,Awareness,451.6667611215138,0.0152088460031858,0.0308956440468244,7,4.043325485801802,3.740379393165077,33,12-13,8,0-4,394,isConfid,isConfid,0
5529,CUST5530,18-21,0,112854-122137,affiliate,Retention,5718.757325442287,0.2016275917729818,0.0328444871931251,31,2.154198620959547,1.5812530271809209,49,12-13,3,5-9,3976,isConfid,isConfid,1
6046,CUST6047,18-21,0,112854-122137,bing,Awareness,5778.660633445404,0.2894005059796206,0.017499704785362,31,6.247393175379529,2.699515992810414,87,12-13,3,5-9,1559,isConfid,isConfid,1
7993,CUST7994,18-21,1,112854-122137,instagram,Retention,7079.945700546504,0.1492532115452919,0.1715273069855568,34,7.542230841715842,6.309533836822676,8,12-13,1,5-9,3066,isConfid,isConfid,0
1959,CUST1960,18-21,0,112854-122137,outlook,Awareness,624.360579235959,0.059537955312963,0.1772267005130472,6,7.183550514326046,13.24881096620687,24,12-13,1,5-9,2535,isConfid,isConfid,1
985,CUST0986,18-21,1,112854-122137,bing ads,Conversion,6337.273116013984,0.0497166706745295,0.0427792947938443,42,9.041470368965664,0.8093111119053786,38,12-13,4,0-4,3620,isConfid,isConfid,1
3806,CUST3807,18-21,1,112854-122137,tiktok,Awareness,6656.786634490637,0.1895459713210707,0.1514225214267291,16,6.059973309719362,14.836897767454785,16,10-11,0,5-9,250,isConfid,isConfid,1
2003,CUST2004,18-21,0,112854-122137,duckduckgo,Conversion,522.6039375988892,0.2477358529475424,0.1268866296907634,37,3.6768491661522384,14.840168314601415,51,10-11,3,5-9,2603,isConfid,isConfid,1
806,CUST0807,18-21,1,112854-122137,duckduckgo,Consideration,1783.7018035364883,0.1699042215423312,0.082305943916038,44,1.5436172245757362,6.29967001829745,32,0-1,3,0-4,2378,isConfid,isConfid,1
1067,CUST1068,18-21,0,112854-122137,instagram,Awareness,3000.9073060016835,0.2120129750265335,0.1251297398029572,23,5.031602637885396,7.017418545175045,65,0-1,4,5-9,1292,isConfid,isConfid,1
1078,CUST1079,18-21,1,112854-122137,blog,Awareness,4828.649204908157,0.0181523641846644,0.1148130137717504,8,3.415949163051178,1.682312589246266,61,0-1,4,5-9,3378,isConfid,isConfid,0
4774,CUST4775,18-21,0,112854-122137,blog,Awareness,3741.713475766787,0.2271951445780521,0.0474202697018848,31,4.747672648210656,2.481591309362264,28,0-1,6,0-4,0,isConfid,isConfid,0
6498,CUST6499,18-21,0,112854-122137,twitter,Retention,3780.4017630317953,0.1060325386318137,0.0693174657847958,4,9.873189552904371,8.192542937362079,93,0-1,4,5-9,2787,isConfid,isConfid,1
6513,CUST6514,18-21,1,112854-122137,protonmail,Retention,5577.82134790917,0.0285045209751155,0.0621057867610514,48,8.75111313569753,2.082991465394009,19,18-19,2,0-4,3131,isConfid,isConfid,1
7265,CUST7266,18-21,1,112854-122137,protonmail,Conversion,4901.161377145836,0.2053351741867769,0.0658714606718294,8,2.5447942674410347,13.476201232645948,62,0-1,8,0-4,3094,isConfid,isConfid,1
5412,CUST5413,18-21,0,112854-122137,duckduckgo,Retention,6738.966582413952,0.0245083935094044,0.074125179566991,29,2.5116530341834324,0.7761571101166788,45,16-17,8,5-9,3202,isConfid,isConfid,1
1388,CUST1389,18-21,0,112854-122137,google ads,Awareness,4080.235519033065,0.2637631533299086,0.0294304084852344,14,9.722544905780175,2.211640873283276,16,18-19,7,5-9,2959,isConfid,isConfid,1
3118,CUST3119,18-21,0,112854-122137,tiktok,Retention,5214.601919956072,0.1027334055697281,0.184134409698114,40,3.2488405177541755,15.209094012679271,56,18-19,6,5-9,717,isConfid,isConfid,1
3345,CUST3346,18-21,0,112854-122137,outlook,Conversion,9963.865522816668,0.1613023685312124,0.0663210836875865,25,8.189193803046107,9.769134306138698,51,18-19,4,5-9,2417,isConfid,isConfid,1
48,CUST0049,18-21,0,112854-122137,news portal,Consideration,2433.922108128931,0.2882571490089682,0.147639020229864,11,6.242379414167894,13.25844500276044,41,18-19,0,5-9,883,isConfid,isConfid,1
106,CUST0107,18-21,1,112854-122137,partner site,Retention,1889.6977317790213,0.1592615769574187,0.1377121378485111,41,2.728127239807262,10.048681674194269,20,14-15,9,5-9,4403,isConfid,isConfid,1
144,CUST0145,18-21,0,112854-122137,facebook,Consideration,3127.2800898579867,0.0843281129439692,0.0668673925014257,40,7.927043744140575,1.7650555685164604,9,14-15,4,0-4,318,isConfid,isConfid,0
3939,CUST3940,18-21,1,112854-122137,facebook ads,Retention,4029.9357364963207,0.2609233376096874,0.0404424556947167,49,6.412305847598146,14.047577070539631,46,14-15,6,0-4,3536,isConfid,isConfid,1
222,CUST0223,18-21,0,122138-131421,whatsapp,Conversion,8011.039941521379,0.0541744614634195,0.0573868985498753,21,6.01296952514979,13.200602932713949,35,4-5,6,0-4,2220,isConfid,isConfid,1
4758,CUST4759,18-21,0,122138-131421,twitter ads,Conversion,5205.572522312449,0.2866835906207463,0.020735555145741,5,3.464971616392153,14.782180285841118,9,4-5,7,0-4,3472,isConfid,isConfid,1
5864,CUST5865,18-21,0,122138-131421,instagram,Conversion,455.8344603294446,0.208085024064951,0.0299204984653744,45,2.0722531879611905,13.659090534521996,81,4-5,0,0-4,3214,isConfid,isConfid,0
7778,CUST7779,18-21,1,122138-131421,facebook,Awareness,3054.54677775719,0.1055987964343898,0.1961643874839062,27,7.796366618092059,7.984920629157146,9,4-5,9,5-9,1639,isConfid,isConfid,0
6101,CUST6102,18-21,1,122138-131421,duckduckgo,Awareness,2245.6820586885283,0.2096839466618173,0.1878483359186559,15,4.625058796519859,11.925628524541452,14,2-3,7,0-4,115,isConfid,isConfid,1
7858,CUST7859,18-21,0,122138-131421,twitter,Awareness,5142.25923112329,0.0402537183463785,0.0802093620298256,21,8.271264533519576,13.927635968835284,76,2-3,5,5-9,1252,isConfid,isConfid,0
1668,CUST1669,18-21,1,122138-131421,blog,Conversion,6763.930440724819,0.044137205402224,0.1293835659957077,22,3.526361351172234,14.55656031137464,92,8-9,4,5-9,2156,isConfid,isConfid,1
3417,CUST3418,18-21,0,122138-131421,outlook,Consideration,1478.9023451373675,0.2403360623600648,0.0625146556760905,15,6.37831633674123,9.914857076714949,88,8-9,0,5-9,3099,isConfid,isConfid,1
4076,CUST4077,18-21,0,122138-131421,whatsapp,Consideration,2287.3508060386,0.0118520079262886,0.0276968297219169,33,9.798783369617633,13.79476194503433,55,8-9,5,0-4,1708,isConfid,isConfid,1
4830,CUST4831,18-21,1,122138-131421,instagram,Conversion,6230.120872520394,0.2432504299719966,0.1256550770588268,16,9.868885399735364,12.693717115459078,20,6-7,3,5-9,2336,isConfid,isConfid,1
2612,CUST2613,18-21,0,122138-131421,bing ads,Awareness,8239.996245575687,0.1075454039878631,0.1488947382796596,24,3.557174563117699,14.9992136407917,19,6-7,8,0-4,1635,isConfid,isConfid,1
1952,CUST1953,18-21,1,122138-131421,whatsapp,Retention,6706.260716429744,0.1933475117302659,0.0327911146814497,9,9.000975521188682,1.233139053016289,98,6-7,1,5-9,3632,isConfid,isConfid,1
913,CUST0914,18-21,0,122138-131421,affiliate,Retention,6708.326808825463,0.0765161011323626,0.1676237065957322,25,5.524722717012694,13.254623243981358,98,12-13,4,0-4,2292,isConfid,isConfid,1
1212,CUST1213,18-21,0,122138-131421,bing ads,Awareness,7366.898157765238,0.0853467371207195,0.040497548550499,35,6.473984398581736,10.799362443707896,94,12-13,5,5-9,3152,isConfid,isConfid,1
2556,CUST2557,18-21,0,122138-131421,twitter ads,Consideration,3536.023995883525,0.1658606449606164,0.0693633142358054,6,9.6994664441281,6.895499536054713,79,12-13,5,0-4,1181,isConfid,isConfid,1
2779,CUST2780,18-21,0,122138-131421,online directory,Consideration,9151.309079524905,0.1041181051304734,0.0747840785475716,14,1.182987486446061,5.804415808846517,8,12-13,4,5-9,1795,isConfid,isConfid,1
